"CODE","PRODUCT","STOCK","Oct-2020","Nov-2020","Total Sales"
"BK1","BEARING CONE (306K) 1""","169","200","0","200"
"BK1.25","BEARING CONE (308K) 1.25""","0","160","0","160"
"BK1.5","BEARING CONE (309K) 1.5""","1749","61","0","61"
"BK2","BEARING CONE (311K) 2""","60","226","0","226"
"BK2.5","BEARING CONE (315K) 2.5""","30","0","0","0"
"ASE41","1/4 X 1"" ASCO-EBB (150 PCS.)","567","222","0","222"
"ASA41","1/4 X 1"" ASCO-STEEL (100 PCS.)","72","20","0","20"
"CHE41","1/4 X 1"" CHNE-EBB (150 PCS.)","97","84","0","84"
"CHA41","1/4 X 1"" CHNE-STEEL (100 PCS.)","0","5","0","5"
"ASE61.5","3/8 X 1.5"" ASCO-EBB (50 PCS.)","1114","156","0","156"
"ASA61.5","3/8 X 1.5"" ASCO-STEEL (50 PCS.)","255","34","0","34"
"CHE61.5","3/8 X 1.5"" CHNE-EBB (50 PCS.)","433","96","0","96"
"CHA61.5","3/8 X 1.5"" CHNE-STEEL (50 PCS.)","148","0","0","0"
"ASE62","3/8 X 2"" ASCO-EBB (40 PCS.)","10","110","0","110"
"ASE51.25","5/16 X 1.25"" ASCO-EBB (75 PCS.)","614","218","0","218"
"ASA51.25","5/16 X 1.25"" ASCO-STEEL (75 PCS.)","117","14","0","14"
"CHE51.25","5/16 X 1.25"" CHNE-EBB (75 PCS.)","40","83","0","83"
"CHA51.25","5/16 X 1.25"" CHNE-STEEL (75 PCS.)","723","5","0","5"
"ASCN1.5","BELT FAST. ASCO (CONVY. CLIP) NO.1.5     (10 PCS)","108","1","0","1"
"ASCN2","BELT FAST. ASCO (CONVY. CLIP) NO.2    (10PCS)","869","96","0","96"
"ASCN2.5","BELT FAST. ASCO (CONVY. CLIP) NO.2.5    (10 PCS)","70","13","0","13"
"ASL3","BELT FAST. ASCO (L-TYPE CLIP) 3"" (10 PCS)","49","24","0","24"
"ASL4","BELT FAST. ASCO (L-TYPE CLIP) 4"" (10 PCS)","71","42","0","42"
"BPH10","BELT PUNCH NO.10 (HEX) (1 DOZ)","854","47","0","47"
"BPR10","BELT PUNCH NO.10 (ROUND) (1 DOZ)","11","5","0","5"
"BPH12","BELT PUNCH NO.12 (HEX) (1 DOZ)","697","0","0","0"
"BPR12","BELT PUNCH NO.12 (ROUND) (1 DOZ)","359","10","0","10"
"BPH8","BELT PUNCH NO.8 (HEX) (1 DOZ)","248","57","0","57"
"BPR8","BELT PUNCH NO.8 (ROUND) (1 DOZ)","512","71","0","71"
"CHKADI","CHAIN KADI","797","0","0","0"
"CHN3","CHAIN NO.3","271","0","0","0"
"CHN4","CHAIN NO.4","617","0","0","0"
"CHN6","CHAIN NO.6","349","20","0","20"
"CHN8","CHAIN NO.8","136","0","0","0"
"CHPLT3","CHAIN PLATE NO.3","422","3","0","3"
"CHPLT4","CHAIN PLATE NO.4","546","24","0","24"
"CHPLT6","CHAIN PLATE NO.6","447","53","0","53"
"CHPLT8","CHAIN PLATE NO.8","8","0","0","0"
"CHPN3","CHAIN WRENCH NO.3","15","0","0","0"
"CHPN4","CHAIN WRENCH NO.4","672","32","0","32"
"CHPN6","CHAIN WRENCH NO.6","112","59","0","59"
"CHPN8","CHAIN WRENCH NO.8","48","0","0","0"
"GBMS2","GAR BARREL 2 MS","399","127","0","127"
"GBMS2.5","GAR BARREL 2.5 MS","105","85","0","85"
"GBSS2","GAR BARREL 2 SS","0","0","0","0"
"GBSS2.5","GAR BARREL 2.5 SS","0","0","0","0"
"SB8.52","SUB. BARI 12MM X 2"" (8.500 KG.)","179","30","0","30"
"SB8.52.5","SUB. BARI 12MM X 2.5"" (8.500 KG.)","341","40","0","40"
"SB102","SUB. BARI 16MM X 2"" (10.000 KG.)","65","0","0","0"
"SB102.5","SUB. BARI 16MM X 2.5"" (10.000 KG.)","99","0","0","0"
"GCR1","GREASE CUP NO.1 (RIVET) (144 PCS.)","102","3","0","3"
"GCR2","GREASE CUP NO.2 (RIVET) (72 PCS.)","10","6","0","6"
"GCR3","GREASE CUP NO.3 (RIVET) (48 PCS.)","39","47","0","47"
"GCR4","GREASE CUP NO.4 (RIVET) (24 PCS.)","353","24","0","24"
"GCS3","GREASE CUP NO.3 (SOLID) (50 PCS.)","117","19","0","19"
"GCS4","GREASE CUP NO.4 (SOLID) (25 PCS.)","135","50","0","50"
"GCS5","GREASE CUP NO.5 (SOLID) (24 PCS.)","93","4","0","4"
"GCS6","GREASE CUP NO.6 (SOLID) (16 PCS.)","58","0","0","0"
"BCHY101","CI BORE CAP 10"" X 1"" (HEAVY)","0","0","0","0"
"BCHY101.25","CI BORE CAP 10"" X 1.25"" (HEAVY)","0","0","0","0"
"BCHY101.5","CI BORE CAP 10"" X 1.5"" (HEAVY)","0","0","0","0"
"BCHY102","CI BORE CAP 10"" X 2"" (HEAVY)","0","0","0","0"
"BCHY102.5","CI BORE CAP 10"" X 2.5"" (HEAVY)","0","0","0","0"
"BCHY103","CI BORE CAP 10"" X 3"" (HEAVY)","0","0","0","0"
"BCHY104","CI BORE CAP 10"" X 4"" (HEAVY)","0","0","0","0"
